15.65 -1
Lombardi et al, Nucl. Phys. A188, 103 (1972) from plot
27 X
91.64 .1523 -4.
94.31 .1 -4.
96.57 .0656 -4.
98.97 .0430 -4.
58 A
15.06 .029 .05
16.09 .0   .05
17.12 -.014 .05
18.35 -.061 .05
19.17 -.073 .05
20.20 -.117 .05
21.32 -.135 .05
22.05 -.161 .05
23.28 -.143 .05
25.34 .007 .05
26.36 .341 .05
27.26 .572 .05
28.21 .820 .05
29.43 .878 .05
30.34 .839 .05
32.87 .680 .05
35.75 .532 .05
37.87 .452 .05
41.07 .379 .05
43.15 .360 .05
45.89 .369 .05
48.63 .557 .05
51.16 .820 .05
53.42 .948 .05
56.30 .982 .05
58.56 .969 .05
61.64 .908 .05
66.43 .778 .05
68.97 .729 .05
73.97 .689 .05
76.57 .724 .05
81.50 .744 .05
86.64 .818 .05
89.17 .851 .05
91.64 .919 .05
94.31 .973 .05
96.57 .949 .05
98.97 .880 .05
101.67 .589 .05
106.57 .440 .05
109.12 .437 .05
111.36 .448 .05
113.91 .457 .05
117.20 .533 .05
119.32 .597 .05
121.86 .676 .05
123.70 .765 .05
126.45 .892 .05
130.53 .942 .05
133.19 .942 .05
134.61 .698 .05
137.67 .668 .05
140.73 .651 .05
143.79 .707 .05
145.43 .744 .05
147.36 .845 .05
149.9 .920 .05
152.87 .947 .05
80.2 1
Nadasen at el PRC 23, 1023 (1981)+Schwandt et al PRC 26, 55 (1982)from plot
44 X
7.16 4008.15 -10.
9.38 3088.1 -10
11.47 2478.87 -10.
13.63 1748.38 -10.
15.79 973.83 -10.
17.88 540.136 -10.
19.71 271.34 -10.
21.81 111.72 -10.
23.97 40.25 -10.
26.06 24.02 -10.
27.89 27.56 -10.
30.05 31.40 -10.
32.14 35.47 -10.
34.3 32.93 -10.
36.2 26.44 -10.
38.36 18.00 -10.
40.45 10.89 -10.
42.29 6.9 -10.
44.44 4.305 -10.
46.34 3.306 -10.
48.50 2.838 -10.
50.46 2.68 -10.
52.62 2.61 -10.
54.59 2.141 -10.
56.68 1.667 -10.
58.64 1.196 -10.
60.60 .816  -10.
62.70 .586 -10.
64.85 .4192 -10.
66.95 .357 -10.
68.78 .340 -10.
71.07 .321 -10.
73.04 .292 -10.
75.00 .266 -10.
76.96 .220 -10.
78.92 .2029 -10.
81.21 .111 -10.
83.17 .0744 -10.
85.27 .0486 -10.
87.10 .03105 -10.
88.73 .0227 -10.
91.15 .0197 -10.
92.99 .0200 -10.
94.95 .0198 -10.
22 A
8.107 .179 -5.
10.64 .116 -5.
13.41 .084 -5.
15.87 .037 -5.
18.67 .015 -5.
20.99 -.009 -5.
24.28 .164 -5.
25.03 .505 -5.
26.33 .886 -5.
29.02 .905 -5.
31.56 .730 -5.
34.07 .613 -5.
36.61 .560 -5.
39.11 .528 -5.
41.84 .528 -5.
44.27 .641 -5.
46.88 .792 -5.
49.20 .886 -5.
51.55 .907 -5.
54.24 .907 -5.
56.78 .901 -5.
59.21 .881 -5.
100.6 1
Seifert phd thesis
23 X
  10.08  2414.      64.2               
   10.49  2171.      56.7               
   12.13  1648.      48.0               
   12.54  1562.     106.5               
   14.19  1015.      53.9               
   14.60   872.0     10.64              
   16.24   535.3      7.39              
   16.65   422.9      2.83              
   18.71   168.7      5.58              
   22.79    20.55     0.105             
   24.84    21.68     0.110             
   26.89    28.79     0.691             
   30.98    27.82     0.075             
   35.08    12.50     0.051             
   39.16     4.301    0.0185            
   43.25     2.362    0.0132            
   47.32     1.883    0.164             
   51.39     1.040    0.0059            
   55.46     0.4803   0.00509           
   59.52     0.2830   0.00224           
   63.57     0.2326   0.00149           
   67.62     0.1665   0.00107           
   71.65     0.08274  0.00055           
22 A
   10.08     0.226     0.019            
   10.49     0.224     0.003            
   12.13     0.207     0.010            
   12.54     0.201     0.018            
   14.19     0.200     0.014            
   14.60     0.200     0.008            
   16.24     0.199     0.011            
   16.65     0.193     0.004            
   18.71     0.201     0.007            
   22.79     0.730     0.006            
   24.84     0.821     0.006            
   26.89     0.710     0.003            
   30.98     0.614     0.004            
   35.08     0.643     0.005            
   39.16     0.705     0.005            
   43.25     0.709     0.007            
   47.32     0.668     0.009            
   51.39     0.770     0.007            
